Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R21,5K1,R_0402_1005Metric,183.75,-128.5,90.0,top
R22,267K,R_0402_1005Metric,194.023259,-130.3,90.0,top
R23,4K7,R_0201_0603Metric,168.25,-88.25,-90.0,top
R24,10K,R_0201_0603Metric,163.0,-94.75,90.0,top
R25,220R,R_0201_0603Metric,169.8,-84.0,-90.0,top
R26,220R,R_0201_0603Metric,170.6,-84.0,-90.0,top
R27,10K,R_0201_0603Metric,169.8,-85.5,90.0,top
R28,10K,R_0201_0603Metric,170.6,-85.5,90.0,top
R29,220R,R_0201_0603Metric,181.0,-141.0,90.0,top
R3,10K,R_0201_0603Metric,167.7,-112.4,-90.0,top
R30,220R,R_0201_0603Metric,181.0,-136.25,-90.0,top
R31,10K,R_0201_0603Metric,181.0,-137.75,90.0,top
R32,49R9,R_0201_0603Metric,167.9,-93.55,-90.0,top
R33,10K,R_0201_0603Metric,181.0,-139.5,90.0,top
R34,49R9,R_0201_0603Metric,169.0,-93.0,0.0,top
R35,49R9,R_0201_0603Metric,169.0,-100.3,180.0,top
R36,49R9,R_0201_0603Metric,170.5,-100.8,0.0,top
R37,49R9,R_0201_0603Metric,169.0,-97.9,180.0,top
R38,49R9,R_0201_0603Metric,167.9,-99.3,-90.0,top
R39,1M,R_0402_1005Metric,164.8,-87.75,90.0,top
R4,49R9,R_0201_0603Metric,169.0,-92.2,0.0,top
R40,73K2,R_0402_1005Metric,190.667557,-147.15,180.0,top
R41,10K0,R_0402_1005Metric,190.517557,-145.7,90.0,top
R42,4K7,R_0201_0603Metric,169.0,-88.25,90.0,top
R43,4K7,R_0201_0603Metric,161.7625,-132.75,0.0,top
R45,4K7,R_0201_0603Metric,161.75,-133.5,0.0,top
R5,27R,R_0201_0603Metric,180.9,-109.3,180.0,top
R6,27R,R_0201_0603Metric,180.9,-108.5,0.0,top
R7,1K5,R_0201_0603Metric,179.8,-97.5,0.0,top
R8,12K4,R_0402_1005Metric,167.6,-96.7,-90.0,top
R9,10R,R_0201_0603Metric,155.1,-81.7,180.0,top
SW1,RST,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4,147.0,-143.25,180.0,top
SW2,BOOT,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4,147.0,-137.25,180.0,top
U1,AG53024,AG53000,132.475,-128.37,-90.0,top
U11,~,VQFN-HR-10_L3.0-W3.0_RPA,187.667557,-146.65,180.0,top
U2,LAN9303i,QFN-56-1EP_8x8mm_P0.5mm_EP5.9x5.9mm_ThermalVias,174.4,-95.75,90.0,top
U3,~,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,173.49,-109.799999,-90.0,top
U5,PC817,DIP-4_W7.62mm,145.005,-128.505,-90.0,top
U7,~,DSBGA-6_L1.4-W1.0-R2-C3-P0.40-BL,192.523259,-130.4,0.0,top
U8,~,DHVQFN-14_L3.0-W2.5-P0.50-BL-EP,179.93,-117.63,0.0,top
USB1,~,USB-C-TH_MC-110LD-L137,180.425,-127.5,90.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,166.2,-109.3975,180.0,top
Y3,25MHz,CRYSTAL-SMD_4P-L1.6-W1.2-BL,173.75,-89.2075,-90.0,top
